# Time;Static;Linear;Q-Aware
0:00:00;4;4;4
0:00:30;4;4;4
0:01:00;4;4;4
0:01:30;4;4;4
0:02:00;4;4;4
0:02:30;4;4;4
0:03:00;4;4;4
0:03:30;4;4;4
0:04:00;4;4;4
0:04:30;5;5;5
0:05:00;5;5;5
0:05:30;6;7;6
0:06:00;6;7;6
0:06:30;7;10;8
0:07:00;7;10;8
0:07:30;7;10;8
0:08:00;7;10;8
0:08:30;8;10;8
0:09:00;8;10;8
0:09:30;9;14;12
0:10:00;9;14;12
0:10:30;9;19;17
0:11:00;9;19;17
0:11:30;10;19;17
0:12:00;10;19;17
0:12:30;10;19;17
0:13:00;10;19;17
0:13:30;10;24;17
0:14:00;10;24;17
0:14:30;11;23;19
0:15:00;11;23;19
0:15:30;12;24;20
0:16:00;12;24;20
0:16:30;12;23;20
0:17:00;12;23;20
0:17:30;13;23;21
0:18:00;13;23;21
0:18:30;12;23;21
0:19:00;12;23;21
0:19:30;11;23;20
0:20:00;11;23;20
0:20:30;11;24;20
0:21:00;11;24;20
0:21:30;11;24;20
0:22:00;11;24;20
0:22:30;10;24;19
0:23:00;10;24;19
0:23:30;9;24;18
0:24:00;9;24;18
0:24:30;10;24;17
0:25:00;10;24;17
0:25:30;11;24;18
0:26:00;11;24;18
0:26:30;12;24;19
0:27:00;12;24;19
0:27:30;13;24;20
0:28:00;13;24;20
0:28:30;12;24;19
0:29:00;12;24;19
0:29:30;12;24;18
0:30:00;12;24;18
0:30:30;12;24;19
0:31:00;12;24;19
0:31:30;11;23;18
0:32:00;11;23;18
0:32:30;10;21;17
0:33:00;10;21;17
0:33:30;9;18;16
0:34:00;9;18;16
0:34:30;8;18;15
0:35:00;8;18;15
0:35:30;7;18;14
0:36:00;7;18;14
0:36:30;8;18;13
0:37:00;8;18;13
0:37:30;9;19;12
0:38:00;9;19;12
0:38:30;9;21;11
0:39:00;9;21;11
0:39:30;10;21;10
0:40:00;10;21;10
0:40:30;10;21;9
0:41:00;10;21;9
0:41:30;10;20;8
0:42:00;10;20;8
0:42:30;10;20;7
0:43:00;10;20;7
0:43:30;9;20;6
0:44:00;9;20;6
0:44:30;8;20;5
0:45:00;8;20;5
0:45:30;7;18;4
0:46:00;7;18;4
0:46:30;7;15;4
0:47:00;7;15;4
0:47:30;8;11;4
0:48:00;8;11;4
0:48:30;9;6;4
0:49:00;9;6;4
0:49:30;10;6;4
0:50:00;10;6;4
0:50:30;11;4;4
0:51:00;11;4;4
0:51:30;12;4;6
0:52:00;12;4;6
0:52:30;13;4;10
0:53:00;13;4;10
0:53:30;13;4;10
0:54:00;13;4;10
0:54:30;14;5;10
0:55:00;14;5;10
0:55:30;15;5;10
0:56:00;15;5;10
0:56:30;16;5;9
0:57:00;16;5;9
0:57:30;17;7;11
0:58:00;17;7;11
0:58:30;17;7;13
0:59:00;17;7;13
0:59:30;16;7;16
1:00:00;16;7;16
