# Time;Static;Linear;Q-Aware
0:00:00;0;0;0
0:00:30;38;24;12
0:01:00;39;29;24
0:01:30;47;32;27
0:02:00;55;34;28
0:02:30;60;37;29
0:03:00;57;41;34
0:03:30;59;45;32
0:04:00;61;54;33
0:04:30;70;69;39
0:05:00;82;82;47
0:05:30;90;97;52
0:06:00;95;113;52
0:06:30;97;124;56
0:07:00;102;124;62
0:07:30;103;125;64
0:08:00;100;125;72
0:08:30;104;123;75
0:09:00;108;122;77
0:09:30;109;127;81
0:10:00;103;130;83
0:10:30;95;135;93
0:11:00;88;137;94
0:11:30;83;134;93
0:12:00;77;131;87
0:12:30;70;128;81
0:13:00;63;123;74
0:13:30;55;125;66
0:14:00;48;121;57
0:14:30;45;120;52
0:15:00;40;117;45
0:15:30;36;115;39
0:16:00;31;110;33
0:16:30;26;106;25
0:17:00;20;101;18
0:17:30;15;96;12
0:18:00;9;92;8
0:18:30;8;88;7
0:19:00;8;83;7
0:19:30;9;78;8
0:20:00;7;78;8
0:20:30;7;82;9
0:21:00;8;75;8
0:21:30;7;79;8
0:22:00;8;74;9
0:22:30;8;68;10
0:23:00;7;60;9
0:23:30;8;54;8
0:24:00;7;47;7
0:24:30;8;40;8
0:25:00;8;40;8
0:25:30;9;41;9
0:26:00;8;40;8
0:26:30;8;37;9
0:27:00;8;34;8
0:27:30;8;32;9
0:28:00;7;31;8
0:28:30;12;30;10
0:29:00;13;30;10
0:29:30;11;30;10
0:30:00;10;29;12
0:30:30;11;27;12
0:31:00;8;22;8
0:31:30;10;28;7
0:32:00;7;25;7
0:32:30;7;28;8
0:33:00;8;28;8
0:33:30;8;38;13
0:34:00;11;38;12
0:34:30;21;35;11
0:35:00;21;32;9
0:35:30;27;29;9
0:36:00;27;26;9
0:36:30;27;26;10
0:37:00;31;25;8
0:37:30;35;26;9
0:38:00;33;30;8
0:38:30;31;35;10
0:39:00;26;35;8
0:39:30;26;29;9
0:40:00;24;22;9
0:40:30;20;15;8
0:41:00;16;8;9
0:41:30;12;10;12
0:42:00;7;7;16
0:42:30;7;6;17
0:43:00;7;6;11
0:43:30;8;7;10
0:44:00;8;7;17
0:44:30;12;7;26
0:45:00;18;8;32
0:45:30;29;9;41
0:46:00;38;8;42
0:46:30;40;9;46
0:47:00;40;7;50
0:47:30;47;10;50
0:48:00;51;8;51
0:48:30;53;13;49
0:49:00;51;14;47
0:49:30;49;15;48
0:50:00;47;15;52
0:50:30;46;24;54
0:51:00;45;32;56
0:51:30;47;34;65
0:52:00;44;35;71
0:52:30;41;42;82
0:53:00;35;39;82
0:53:30;36;39;77
0:54:00;32;45;74
0:54:30;30;49;71
0:55:00;26;54;69
0:55:30;29;60;66
0:56:00;26;60;62
0:56:30;20;66;65
0:57:00;12;67;59
0:57:30;8;73;58
0:58:00;8;86;56
0:58:30;11;92;59
0:59:00;9;94;60
0:59:30;8;97;65
1:00:00;8;104;68
