Time;Static;Linear;Q-Aware
0:00:00;4;4;4
0:00:30;4;4;4
0:01:00;4;4;4
0:01:30;4;4;4
0:02:00;4;4;4
0:02:30;4;4;4
0:03:00;4;4;4
0:03:30;4;4;4
0:04:00;4;4;4
0:04:30;4;4;4
0:05:00;4;4;4
0:05:30;4;4;4
0:06:00;4;4;4
0:06:30;4;4;4
0:07:00;4;4;4
0:07:30;4;4;4
0:08:00;4;4;4
0:08:30;4;4;4
0:09:00;4;4;4
0:09:30;4;4;4
0:10:00;4;4;4
0:10:30;4;4;4
0:11:00;4;4;4
0:11:30;5;5;5
0:12:00;5;5;5
0:12:30;5;5;5
0:13:00;5;5;5
0:13:30;5;5;5
0:14:00;5;5;5
0:14:30;5;5;5
0:15:00;5;5;5
0:15:30;5;5;5
0:16:00;5;5;5
0:16:30;6;7;10
0:17:00;6;7;10
0:17:30;6;7;10
0:18:00;6;7;10
0:18:30;6;7;10
0:19:00;6;7;10
0:19:30;7;10;10
0:20:00;7;10;10
0:20:30;8;14;12
0:21:00;8;14;12
0:21:30;9;19;15
0:22:00;9;19;15
0:22:30;9;19;19
0:23:00;9;19;19
0:23:30;9;19;23
0:24:00;9;19;23
0:24:30;9;19;24
0:25:00;9;19;24
0:25:30;9;19;23
0:26:00;9;19;23
0:26:30;9;19;23
0:27:00;9;19;23
0:27:30;10;24;24
0:28:00;10;24;24
0:28:30;11;24;24
0:29:00;11;24;24
0:29:30;12;23;23
0:30:00;12;23;23
0:30:30;12;23;24
0:31:00;12;23;24
0:31:30;12;24;24
0:32:00;12;24;24
0:32:30;12;23;24
0:33:00;12;23;24
0:33:30;13;21;23
0:34:00;13;21;23
0:34:30;13;21;24
0:35:00;13;21;24
0:35:30;14;21;24
0:36:00;14;21;24
0:36:30;15;22;24
0:37:00;15;22;24
0:37:30;16;24;23
0:38:00;16;24;23
0:38:30;17;24;22
0:39:00;17;24;22
0:39:30;18;24;22
0:40:00;18;24;22
0:40:30;19;24;22
0:41:00;19;24;22
0:41:30;20;24;21
0:42:00;20;24;21
0:42:30;21;24;22
0:43:00;21;24;22
0:43:30;20;23;21
0:44:00;20;23;21
0:44:30;19;21;20
0:45:00;19;21;20
0:45:30;18;18;19
0:46:00;18;18;19
0:46:30;17;14;18
0:47:00;17;14;18
0:47:30;17;14;18
0:48:00;17;14;18
0:48:30;17;14;18
0:49:00;17;14;18
0:49:30;16;9;17
0:50:00;16;9;17
0:50:30;15;4;16
0:51:00;15;4;16
0:51:30;15;4;15
0:52:00;15;4;15
0:52:30;15;5;14
0:53:00;15;5;14
0:53:30;14;5;13
0:54:00;14;5;13
0:54:30;13;7;12
0:55:00;13;7;12
0:55:30;12;7;13
0:56:00;12;7;13
0:56:30;12;10;12
0:57:00;12;10;12
0:57:30;11;9;11
0:58:00;11;9;11
0:58:30;12;10;10
0:59:00;12;10;10
0:59:30;13;12;9
1:00:00;13;12;9
