# Time;1 Min;2 Min;3 Min
0:00:00;0;0;0
0:00:30;29;12;23
0:01:00;34;24;27
0:01:30;39;27;32
0:02:00;42;28;35
0:02:30;45;29;40
0:03:00;53;34;44
0:03:30;54;32;50
0:04:00;58;33;55
0:04:30;62;39;69
0:05:00;74;47;78
0:05:30;80;52;84
0:06:00;82;52;83
0:06:30;91;56;87
0:07:00;93;62;87
0:07:30;86;64;88
0:08:00;81;72;87
0:08:30;75;75;89
0:09:00;70;77;85
0:09:30;78;81;86
0:10:00;82;83;84
0:10:30;88;93;83
0:11:00;89;94;81
0:11:30;88;93;75
0:12:00;87;87;70
0:12:30;87;81;64
0:13:00;87;74;56
0:13:30;88;66;52
0:14:00;87;57;48
0:14:30;80;52;40
0:15:00;73;45;33
0:15:30;66;39;25
0:16:00;58;33;17
0:16:30;50;25;9
0:17:00;41;18;7
0:17:30;34;12;7
0:18:00;27;8;7
0:18:30;21;7;7
0:19:00;14;7;7
0:19:30;8;8;7
0:20:00;8;8;15
0:20:30;7;9;17
0:21:00;11;8;13
0:21:30;9;8;9
0:22:00;12;9;9
0:22:30;9;10;13
0:23:00;7;9;10
0:23:30;8;8;16
0:24:00;7;7;12
0:24:30;9;8;10
0:25:00;9;8;8
0:25:30;9;9;8
0:26:00;9;8;8
0:26:30;8;9;8
0:27:00;8;8;8
0:27:30;8;9;8
0:28:00;8;8;8
0:28:30;9;10;12
0:29:00;11;10;14
0:29:30;10;10;20
0:30:00;9;12;23
0:30:30;13;12;23
0:31:00;11;8;16
0:31:30;7;7;14
0:32:00;7;7;10
0:32:30;9;8;8
0:33:00;8;8;9
0:33:30;9;13;8
0:34:00;9;12;8
0:34:30;14;11;9
0:35:00;8;9;7
0:35:30;8;9;8
0:36:00;10;9;10
0:36:30;12;10;12
0:37:00;8;8;9
0:37:30;12;9;9
0:38:00;14;8;10
0:38:30;13;10;9
0:39:00;10;8;11
0:39:30;8;9;9
0:40:00;8;9;8
0:40:30;9;8;8
0:41:00;8;9;8
0:41:30;13;12;9
0:42:00;13;16;7
0:42:30;11;17;6
0:43:00;13;11;6
0:43:30;15;10;10
0:44:00;14;17;7
0:44:30;22;26;9
0:45:00;24;32;8
0:45:30;26;41;8
0:46:00;29;42;8
0:46:30;35;46;8
0:47:00;38;50;11
0:47:30;45;50;12
0:48:00;55;51;8
0:48:30;58;49;8
0:49:00;57;47;9
0:49:30;54;48;9
0:50:00;56;52;10
0:50:30;56;54;9
0:51:00;54;56;8
0:51:30;58;65;12
0:52:00;58;71;23
0:52:30;56;82;37
0:53:00;52;82;43
0:53:30;49;77;53
0:54:00;46;74;62
0:54:30;47;71;69
0:55:00;44;69;68
0:55:30;46;66;65
0:56:00;47;62;60
0:56:30;45;65;54
0:57:00;44;59;48
0:57:30;49;58;47
0:58:00;50;56;44
0:58:30;56;59;45
0:59:00;56;60;43
0:59:30;54;65;38
1:00:00;52;68;32
