# Time;1 Min;2 Min;3 Min
0:00:00;4;4;4
0:00:30;4;4;4
0:01:00;4;4;4
0:01:30;4;4;4
0:02:00;4;4;4
0:02:30;4;4;4
0:03:00;4;4;4
0:03:30;4;4;4
0:04:00;4;4;4
0:04:30;4;4;4
0:05:00;4;4;4
0:05:30;4;4;4
0:06:00;4;4;4
0:06:30;4;4;4
0:07:00;4;4;4
0:07:30;4;4;4
0:08:00;4;4;4
0:08:30;4;4;4
0:09:00;4;4;4
0:09:30;4;4;4
0:10:00;4;4;4
0:10:30;4;4;4
0:11:00;4;4;4
0:11:30;5;5;4
0:12:00;5;5;4
0:12:30;5;5;4
0:13:00;5;5;4
0:13:30;5;5;4
0:14:00;5;5;4
0:14:30;5;5;4
0:15:00;5;5;4
0:15:30;5;5;4
0:16:00;5;5;4
0:16:30;8;10;6
0:17:00;8;10;6
0:17:30;8;10;6
0:18:00;8;10;6
0:18:30;8;10;6
0:19:00;8;10;6
0:19:30;14;10;11
0:20:00;14;10;11
0:20:30;21;12;17
0:21:00;21;12;17
0:21:30;21;15;24
0:22:00;21;15;24
0:22:30;24;19;24
0:23:00;24;19;24
0:23:30;23;23;24
0:24:00;23;23;24
0:24:30;23;24;24
0:25:00;23;24;24
0:25:30;23;23;24
0:26:00;23;23;24
0:26:30;24;23;24
0:27:00;24;23;24
0:27:30;24;24;24
0:28:00;24;24;24
0:28:30;23;24;24
0:29:00;23;24;24
0:29:30;24;23;24
0:30:00;24;23;24
0:30:30;24;24;24
0:31:00;24;24;24
0:31:30;24;24;24
0:32:00;24;24;24
0:32:30;24;24;24
0:33:00;24;24;24
0:33:30;23;23;24
0:34:00;23;23;24
0:34:30;23;24;23
0:35:00;23;24;23
0:35:30;24;24;22
0:36:00;24;24;22
0:36:30;24;24;22
0:37:00;24;24;22
0:37:30;23;23;23
0:38:00;23;23;23
0:38:30;23;22;24
0:39:00;23;22;24
0:39:30;24;22;23
0:40:00;24;22;23
0:40:30;23;22;23
0:41:00;23;22;23
0:41:30;24;21;22
0:42:00;24;21;22
0:42:30;24;22;22
0:43:00;24;22;22
0:43:30;24;21;21
0:44:00;24;21;21
0:44:30;24;20;20
0:45:00;24;20;20
0:45:30;24;19;19
0:46:00;24;19;19
0:46:30;23;18;18
0:47:00;23;18;18
0:47:30;23;18;19
0:48:00;23;18;19
0:48:30;23;18;20
0:49:00;23;18;20
0:49:30;22;17;19
0:50:00;22;17;19
0:50:30;23;16;18
0:51:00;23;16;18
0:51:30;24;15;17
0:52:00;24;15;17
0:52:30;23;14;16
0:53:00;23;14;16
0:53:30;22;13;15
0:54:00;22;13;15
0:54:30;21;12;14
0:55:00;21;12;14
0:55:30;20;13;13
0:56:00;20;13;13
0:56:30;19;12;12
0:57:00;19;12;12
0:57:30;18;11;11
0:58:00;18;11;11
0:58:30;17;10;10
0:59:00;17;10;10
0:59:30;16;9;9
1:00:00;16;9;9
