# Time;Optimized;Zero;Random
0:00:00;0;0;0
0:00:30;5;5;4
0:01:00;5;4;4
0:01:30;4;4;6
0:02:00;4;5;5
0:02:30;5;6;4
0:03:00;4;5;4
0:03:30;5;5;4
0:04:00;4;4;4
0:04:30;4;6;6
0:05:00;7;9;9
0:05:30;11;11;13
0:06:00;19;18;23
0:06:30;27;21;35
0:07:00;34;23;39
0:07:30;38;26;43
0:08:00;38;30;48
0:08:30;43;33;56
0:09:00;46;40;52
0:09:30;53;42;60
0:10:00;59;46;64
0:10:30;61;51;74
0:11:00;64;52;75
0:11:30;69;55;80
0:12:00;75;62;83
0:12:30;79;71;92
0:13:00;88;73;98
0:13:30;90;78;100
0:14:00;88;84;103
0:14:30;89;82;108
0:15:00;90;80;108
0:15:30;97;87;107
0:16:00;102;86;106
0:16:30;108;91;104
0:17:00;117;92;102
0:17:30;125;94;104
0:18:00;126;102;102
0:18:30;126;103;101
0:19:00;125;100;99
0:19:30;126;102;96
0:20:00;128;104;94
0:20:30;133;107;94
0:21:00;138;108;93
0:21:30;142;108;90
0:22:00;143;113;88
0:22:30;142;117;85
0:23:00;140;116;83
0:23:30;138;121;79
0:24:00;134;124;77
0:24:30;131;126;74
0:25:00;130;125;70
0:25:30;126;130;66
0:26:00;120;134;65
0:26:30;113;143;66
0:27:00;109;147;63
0:27:30;105;156;65
0:28:00;100;159;69
0:28:30;99;163;66
0:29:00;96;169;63
0:29:30;93;175;58
0:30:00;97;177;52
0:30:30;94;185;46
0:31:00;93;189;39
0:31:30;90;193;33
0:32:00;86;195;29
0:32:30;81;195;30
0:33:00;77;200;24
0:33:30;72;202;17
0:34:00;68;204;10
0:34:30;65;205;8
0:35:00;64;206;7
0:35:30;60;208;8
0:36:00;55;212;8
0:36:30;51;217;7
0:37:00;45;219;8
0:37:30;48;225;11
0:38:00;48;234;11
0:38:30;43;242;9
0:39:00;39;247;12
0:39:30;38;253;12
0:40:00;35;261;13
0:40:30;33;266;16
0:41:00;27;268;11
0:41:30;22;284;14
0:42:00;16;289;18
0:42:30;11;293;19
0:43:00;7;300;19
0:43:30;10;299;18
0:44:00;8;302;17
0:44:30;10;304;14
0:45:00;7;311;11
0:45:30;11;313;12
0:46:00;14;315;10
0:46:30;17;317;13
0:47:00;17;318;11
0:47:30;13;318;13
0:48:00;10;325;10
0:48:30;9;326;8
0:49:00;9;330;8
0:49:30;9;339;8
0:50:00;8;347;7
0:50:30;8;350;8
0:51:00;8;351;7
0:51:30;8;362;9
0:52:00;8;361;8
0:52:30;7;358;10
0:53:00;9;359;7
0:53:30;10;365;8
0:54:00;7;366;7
0:54:30;9;371;15
0:55:00;10;376;18
0:55:30;10;375;26
0:56:00;10;372;35
0:56:30;8;378;41
0:57:00;8;382;42
0:57:30;10;395;50
0:58:00;11;396;52
0:58:30;10;398;58
0:59:00;8;399;54
0:59:30;9;398;58
1:00:00;8;402;68
