# Time;5 Sec;10 Sec;15 Sec
0:00:00;4;4;4
0:00:30;4;4;4
0:01:00;4;4;4
0:01:30;4;4;4
0:02:00;4;4;4
0:02:30;4;4;4
0:03:00;4;4;4
0:03:30;4;4;4
0:04:00;4;4;4
0:04:30;7;5;6
0:05:00;7;5;6
0:05:30;12;6;9
0:06:00;12;6;9
0:06:30;18;8;13
0:07:00;18;8;13
0:07:30;18;8;13
0:08:00;18;8;13
0:08:30;18;8;13
0:09:00;18;8;13
0:09:30;23;12;17
0:10:00;23;12;17
0:10:30;24;17;17
0:11:00;24;17;17
0:11:30;23;17;17
0:12:00;23;17;17
0:12:30;23;17;17
0:13:00;23;17;17
0:13:30;23;17;17
0:14:00;23;17;17
0:14:30;23;19;17
0:15:00;23;19;17
0:15:30;23;20;16
0:16:00;23;20;16
0:16:30;24;20;15
0:17:00;24;20;15
0:17:30;24;21;15
0:18:00;24;21;15
0:18:30;24;21;15
0:19:00;24;21;15
0:19:30;23;20;14
0:20:00;23;20;14
0:20:30;23;20;15
0:21:00;23;20;15
0:21:30;23;20;16
0:22:00;23;20;16
0:22:30;22;19;15
0:23:00;22;19;15
0:23:30;22;18;14
0:24:00;22;18;14
0:24:30;22;17;13
0:25:00;22;17;13
0:25:30;22;18;12
0:26:00;22;18;12
0:26:30;22;19;11
0:27:00;22;19;11
0:27:30;22;20;10
0:28:00;22;20;10
0:28:30;21;19;9
0:29:00;21;19;9
0:29:30;21;18;8
0:30:00;21;18;8
0:30:30;21;19;8
0:31:00;21;19;8
0:31:30;20;18;7
0:32:00;20;18;7
0:32:30;19;17;6
0:33:00;19;17;6
0:33:30;18;16;6
0:34:00;18;16;6
0:34:30;17;15;6
0:35:00;17;15;6
0:35:30;17;14;6
0:36:00;17;14;6
0:36:30;16;13;6
0:37:00;16;13;6
0:37:30;16;12;6
0:38:00;16;12;6
0:38:30;16;11;6
0:39:00;16;11;6
0:39:30;16;10;6
0:40:00;16;10;6
0:40:30;15;9;6
0:41:00;15;9;6
0:41:30;14;8;11
0:42:00;14;8;11
0:42:30;14;7;16
0:43:00;14;7;16
0:43:30;14;6;21
0:44:00;14;6;21
0:44:30;14;5;24
0:45:00;14;5;24
0:45:30;13;4;24
0:46:00;13;4;24
0:46:30;12;4;24
0:47:00;12;4;24
0:47:30;11;4;23
0:48:00;11;4;23
0:48:30;10;4;24
0:49:00;10;4;24
0:49:30;10;4;24
0:50:00;10;4;24
0:50:30;9;4;23
0:51:00;9;4;23
0:51:30;8;6;24
0:52:00;8;6;24
0:52:30;7;10;23
0:53:00;7;10;23
0:53:30;7;10;24
0:54:00;7;10;24
0:54:30;8;10;24
0:55:00;8;10;24
0:55:30;8;10;23
0:56:00;8;10;23
0:56:30;10;9;22
0:57:00;10;9;22
0:57:30;11;11;22
0:58:00;11;11;22
0:58:30;13;13;23
0:59:00;13;13;23
0:59:30;13;16;23
1:00:00;13;16;23
